65,1,37006965905,0.038667986737337484,1530.2112102508545,2,1693
268,2,38722458877,0.02075916854295934,2547.330141067505,3,1708
224,1,30433268389,0.039235830421059076,1566.8795108795166,2,1711
160,2,13993230286,0.07701619471870677,1567.3959255218506,3,1669
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
449,7,10913885446,0.021434774799407093,0.0,11,1720
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
61,7,30499340800,0.0025737771140873352,1439.8643970489502,14,1645
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
85,11,15789257112,0.032165529961630836,1581.066370010376,12,1676
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
218,2,90781637106,0.0027016671207368997,1581.8605422973633,11,1674
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
164,7,91573762331,0.10451344777460346,1702.446699142456,12,1777
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
254,4,26619726507,0.0003428858574684184,1466.2983417510986,11,1663
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
52,1,3872793423,0.008815110358884099,1526.0720252990723,7,1633
223,2,55783275918,0.016698214922337307,1504.8213005065918,7,1719
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
10,4,3135887862,0.01202090089256766,0.0,11,1697
207,2,852711428840,0.013820014783940803,184.13770000915974,6,1707
Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
10,5,45636764213,0.003330150633585208,0.0,7,1647
10,1,97076289906,0.01644608078360769,11.511564254760742,7,1702
